,product_category(1),product_category(2),product_category(3),product_category(4),product_category(5),product_category(6)
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,1,1,0,0,0,0
3,0,0,0,0,0,0
4,2,2,1,1,0,0
5,3,3,2,2,0,0
6,4,4,3,0,0,0
7,0,0,0,0,0,0
8,4,5,4,0,0,0
9,0,0,0,0,0,0
10,5,6,5,0,0,0
11,6,7,6,0,0,0
12,0,0,0,0,0,0
13,3,8,7,0,0,0
14,1,9,8,0,0,0
15,0,0,0,0,0,0
16,7,10,0,0,0,0
17,2,2,9,3,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,8,11,10,0,0,0
21,0,0,0,0,0,0
22,3,12,11,4,0,0
23,9,13,12,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,3,3,2,5,1,0
28,4,14,13,6,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,1,9,14,0,0,0
32,3,3,2,2,0,0
33,0,0,0,0,0,0
34,8,15,15,0,0,0
35,0,0,0,0,0,0
36,3,16,16,0,0,0
37,1,17,17,0,0,0
38,0,0,0,0,0,0
39,3,18,18,7,0,0
40,4,14,13,8,2,0
41,6,19,0,0,0,0
42,2,2,1,9,3,0
43,1,9,8,0,0,0
44,0,0,0,0,0,0
45,2,20,19,10,0,0
46,0,0,0,0,0,0
47,2,2,20,0,0,0
48,0,0,0,0,0,0
49,6,21,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,5,22,21,0,0,0
53,3,3,2,5,1,0
54,0,0,0,0,0,0
55,4,14,13,11,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,1,1,0,0,0,0
60,1,23,22,0,0,0
61,1,1,0,0,0,0
62,0,0,0,0,0,0
63,1,1,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,8,24,23,0,0,0
67,10,25,24,12,4,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,3,18,25,13,0,0
72,0,0,0,0,0,0
73,4,5,26,14,0,0
74,0,0,0,0,0,0
75,2,2,1,15,5,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,4,5,27,0,0,0
80,8,11,28,0,0,0
81,4,26,29,16,6,0
82,0,0,0,0,0,0
83,1,9,30,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,3,8,7,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,1,1,0,0,0,0
92,11,27,31,17,0,0
93,0,0,0,0,0,0
94,3,16,32,0,0,0
95,0,0,0,0,0,0
96,4,28,33,18,0,0
97,0,0,0,0,0,0
98,1,29,34,0,0,0
99,8,11,35,0,0,0
100,4,14,36,19,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,12,30,37,20,7,0
104,0,0,0,0,0,0
105,4,14,38,21,0,0
106,0,0,0,0,0,0
107,2,2,1,9,3,0
108,0,0,0,0,0,0
109,9,31,39,22,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,1,23,40,0,0,0
113,1,1,0,0,0,0
114,8,32,0,0,0,0
115,0,0,0,0,0,0
116,8,33,0,0,0,0
117,0,0,0,0,0,0
118,8,11,10,0,0,0
119,0,0,0,0,0,0
120,8,34,41,23,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,5,6,5,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,13,35,42,0,0,0
128,3,3,2,2,0,0
129,8,11,43,0,0,0
130,8,11,35,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,3,3,2,2,0,0
136,0,0,0,0,0,0
137,8,36,44,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,10,25,45,24,0,0
141,0,0,0,0,0,0
142,4,14,13,25,0,0
143,3,18,18,26,0,0
144,8,24,46,0,0,0
145,3,3,2,2,0,0
146,0,0,0,0,0,0
147,2,2,1,9,8,0
148,0,0,0,0,0,0
149,7,10,0,0,0,0
150,2,2,47,27,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,1,9,14,0,0,0
154,12,30,37,28,9,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,4,14,13,29,0,0
158,4,26,29,16,10,0
159,8,37,0,0,0,0
160,4,38,48,30,0,0
161,0,0,0,0,0,0
162,1,9,49,31,0,0
163,0,0,0,0,0,0
164,4,14,13,25,0,0
165,0,0,0,0,0,0
166,3,3,2,2,0,0
167,8,15,50,0,0,0
168,0,0,0,0,0,0
169,1,1,0,0,0,0
170,2,2,9,32,0,0
171,3,3,2,2,0,0
172,3,3,2,2,0,0
173,4,14,13,25,0,0
174,8,24,46,0,0,0
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,2,2,47,27,0,0
181,0,0,0,0,0,0
182,10,25,45,33,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,5,39,51,0,0,0
186,5,40,52,34,0,0
187,0,0,0,0,0,0
188,8,33,0,0,0,0
189,1,9,53,35,0,0
190,0,0,0,0,0,0
191,3,16,16,0,0,0
192,9,31,54,36,0,0
193,1,9,55,37,0,0
194,1,9,53,38,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,1,1,0,0,0,0
199,13,35,56,39,0,0
200,1,9,8,0,0,0
201,3,8,57,0,0,0
202,0,0,0,0,0,0
203,4,5,27,0,0,0
204,4,38,58,40,0,0
205,4,14,59,41,11,0
